,hand_c1,hand_c2,board_c1,board_c2,board_c3,board_c4,board_c5,winning_proba,confidence95
71,J-H,K-D,2-D,5-D,5-H,8-D,Q-D,0.925,0.0010324940677795683
72,2-H,A-H,3-D,4-C,8-D,10-S,J-S,0.319,0.0018270690653612416
73,9-H,J-D,3-D,7-D,9-C,9-S,A-C,0.971,0.0006578012295519068
74,5-H,6-D,4-H,5-C,8-D,8-H,9-H,0.679,0.0018300943083895977
75,8-H,Q-D,7-D,8-D,9-C,10-S,10-H,0.482,0.0019587295082272083
76,J-H,K-D,4-H,6-C,Q-D,K-C,A-D,0.808,0.0015439824579314364
77,4-H,5-H,6-H,7-H,8-D,K-C,A-C,0.968,0.0006899200000000003
78,3-H,J-D,2-D,3-C,4-C,8-H,10-D,0.546,0.0019516876536987164
79,4-H,J-D,3-H,9-C,K-C,K-D,A-S,0.518,0.0019587295082272083
80,J-H,J-D,2-C,3-S,5-C,5-D,J-S,1.0,0.0
81,7-H,J-D,6-H,8-H,9-H,10-D,K-D,0.958,0.0007863093986466145
82,6-H,6-D,2-H,4-C,4-S,5-C,J-C,0.684,0.0018224585486644133
83,3-H,6-H,4-D,8-H,J-C,K-D,A-C,0.071,0.0010067533846975633
84,9-H,J-D,2-H,6-D,6-C,10-S,A-S,0.531,0.0019562292528228897
85,7-H,J-D,3-C,3-H,4-H,6-H,7-D,0.673,0.0018389396440340285
86,2-H,J-H,2-D,5-C,5-D,6-S,Q-C,0.593,0.001925797498804067
87,3-H,10-D,4-H,7-C,7-H,9-C,K-D,0.528,0.0019569243067630387
88,2-H,4-D,2-D,4-C,5-H,8-C,10-H,0.868,0.0013268838104370708
89,10-H,Q-H,4-D,J-D,Q-C,K-D,K-C,0.815,0.0015221264599237477
90,8-H,Q-D,4-C,9-H,10-C,J-H,A-D,0.985,0.0004764856346208143
91,2-H,3-D,2-D,6-C,8-C,J-D,J-C,0.57,0.0019406969469754932
92,2-H,8-D,6-C,9-C,J-C,Q-D,K-H,0.187,0.0015284531914324362
93,7-H,A-D,2-C,7-D,9-C,K-C,A-H,0.938,0.0009453297617233897
94,7-H,J-D,2-C,2-H,9-D,J-S,K-C,0.751,0.001695140535058967
95,2-H,2-D,2-C,5-H,7-S,Q-H,K-H,0.96,0.000768159983336805
96,2-H,9-D,4-D,7-D,9-C,J-D,K-S,0.651,0.0018684835331358957
97,8-H,10-D,6-D,9-H,J-H,A-C,A-D,0.507,0.001959807910587158
98,3-H,4-D,3-D,4-C,6-D,8-H,J-D,0.869,0.0013226093941901367
99,4-H,10-H,2-D,6-D,7-C,10-S,K-H,0.759,0.0016765460093895424
